    data    | host | port  | database | user  | password |  schema
 pLSjFbcXoE | FfRs | 58492 | xPLDnJ   | ObCsN | VlgTeMaP | EZQleQYh
 wekrBEmfdz | dcEk | 14412 | BAkjQZ   | LCtTM | tTCoaNat | yyiNKARe
 JiFQGZsnwT | KSmV | 36705 | iGLOpb   | UOpEd | KupdOMeR | VjaRzLNT
 GeuDtRzQMD | QiYC | 23468 | hgHOvg   | SeycJ | PJHYNufN | jJhhjUVR
 kjkZIvaBjM | kXVb | 48885 | Gvbqzg   | exyAL | BsdjSGpn | gCwFkDif
 xZyfroRODM | bNDR | 36076 | nPNRWC   | JPMHD | tJmHAYOR | sUfUMAps
 jQXmZOtaRL | UtmY | 43365 | mSVYBA   | DDvox | IfsfgPyC | KmxIubeY
 MLfrDGXqwp | zwVG | 16844 | MZcLVC   | xaSJl | DSYEofkk | EYeqkKHq
 sNBakqSwQp | OQgN | 64206 | zgaczA   | InLqL | IbAatLYH | daopovFO
 lGsXalGqAR | mneB | 29770 | BFelhX   | kzzfN | aVtAyyqW | zKqQFbuc
